tweet_id,tweet_date,country,sentiment
1.2581E+018,05/06/2020,United States,2
1.25852E+018,05/07/2020,United Kingdom,2
1.25603E+018,05/01/2020,United States,2
1.25687E+018,05/03/2020,United Kingdom,2
1.2584E+018,05/07/2020,United States,2
1.25997E+018,05/11/2020,United States,2
1.25672E+018,05/02/2020,United States,2
1.25679E+018,05/03/2020,United States,2
1.25738E+018,05/04/2020,United Kingdom,2
1.25739E+018,05/04/2020,United Kingdom,0
1.25786E+018,05/06/2020,United States,2
1.25853E+018,05/07/2020,United States,2
1.25885E+018,05/08/2020,United States,2
1.25913E+018,05/09/2020,United Kingdom,2
1.25624E+018,05/01/2020,United States,2
1.25695E+018,05/03/2020,United States,2
1.25842E+018,05/07/2020,United States,0
1.25843E+018,05/07/2020,United States,2
1.2595E+018,05/10/2020,United States,2
1.25631E+018,05/01/2020,United States,2
1.25772E+018,05/05/2020,United States,0
1.25681E+018,05/03/2020,United States,0
1.25702E+018,05/03/2020,United Kingdom,2
1.25738E+018,05/04/2020,United States,0
1.25749E+018,05/05/2020,United States,2
1.25857E+018,05/08/2020,United States,2
1.25905E+018,05/09/2020,United States,0
1.25697E+018,05/03/2020,United Kingdom,2
1.25802E+018,05/06/2020,United States,2
1.25818E+018,05/06/2020,United States,2
1.25953E+018,05/10/2020,United States,2
1.25958E+018,05/10/2020,United States,0
1.25662E+018,05/02/2020,United Kingdom,0
1.2571E+018,05/04/2020,France,2
1.25725E+018,05/04/2020,United Kingdom,2
1.2575E+018,05/05/2020,United States,2
1.25639E+018,05/02/2020,United States,2
1.25728E+018,05/04/2020,United States,2
1.2576E+018,05/05/2020,United Kingdom,0
1.25842E+018,05/07/2020,United States,0
1.2592E+018,05/09/2020,United States,2
1.25954E+018,05/10/2020,United Kingdom,2
1.25603E+018,05/01/2020,United States,2
1.25649E+018,05/02/2020,United Kingdom,2
1.25664E+018,05/02/2020,United States,2
1.25671E+018,05/02/2020,United Kingdom,2
1.257E+018,05/03/2020,United States,0
1.25777E+018,05/05/2020,Mexico,0
1.25787E+018,05/06/2020,United States,0
1.25803E+018,05/06/2020,United States,2
1.25816E+018,05/06/2020,United States,2
1.25816E+018,05/06/2020,United States,0
1.25866E+018,05/08/2020,United States,0
1.2587E+018,05/08/2020,United States,0
1.25981E+018,05/11/2020,United States,2
1.25664E+018,05/02/2020,United States,0
1.25669E+018,05/02/2020,United States,0
1.25678E+018,05/03/2020,United States,2
1.25689E+018,05/03/2020,United Kingdom,0
1.25726E+018,05/04/2020,United States,2
1.25806E+018,05/06/2020,Mexico,0
1.25841E+018,05/07/2020,United Kingdom,0
1.25855E+018,05/08/2020,United Kingdom,2
1.2569E+018,05/03/2020,United States,0
1.2571E+018,05/03/2020,United States,2
1.25729E+018,05/04/2020,United States,2
1.2573E+018,05/04/2020,Mexico,2
1.25734E+018,05/04/2020,United Kingdom,2
1.25764E+018,05/05/2020,United Kingdom,2
1.25778E+018,05/05/2020,United States,2
1.2581E+018,05/06/2020,United States,2
1.25893E+018,05/09/2020,United States,2
1.25675E+018,05/03/2020,New Zealand,0
1.25734E+018,05/04/2020,United States,2
1.25751E+018,05/05/2020,United States,2
1.25774E+018,05/05/2020,United States,2
1.25878E+018,05/08/2020,United Kingdom,2
1.2588E+018,05/08/2020,Mexico,0
1.26034E+018,05/12/2020,United States,2
1.25704E+018,05/03/2020,United States,2
1.25772E+018,05/05/2020,United Kingdom,2
1.25775E+018,05/05/2020,United States,2
1.2592E+018,05/09/2020,United States,0
1.26003E+018,05/12/2020,United States,2
1.25633E+018,05/01/2020,United States,2
1.2568E+018,05/03/2020,United Kingdom,2
1.25739E+018,05/04/2020,United States,0
1.25739E+018,05/04/2020,United States,0
1.25886E+018,05/08/2020,United Kingdom,2
1.25888E+018,05/08/2020,United States,2
1.25608E+018,05/01/2020,United States,0
1.25634E+018,05/01/2020,United States,0
1.25635E+018,05/01/2020,United Kingdom,2
1.25643E+018,05/02/2020,United States,2
1.25731E+018,05/04/2020,United Kingdom,2
1.25763E+018,05/05/2020,United States,0
1.25818E+018,05/06/2020,United States,2
1.2598E+018,05/11/2020,United States,0
1.25674E+018,05/03/2020,United States,2
1.25676E+018,05/03/2020,United States,2
1.25741E+018,05/04/2020,United States,2
1.25783E+018,05/06/2020,United States,2
1.25805E+018,05/06/2020,United States,2
1.25948E+018,05/10/2020,United Kingdom,0
1.25675E+018,05/03/2020,United States,2
1.25701E+018,05/03/2020,Mexico,2
1.25746E+018,05/05/2020,United States,2
1.25768E+018,05/05/2020,United States,2
1.25768E+018,05/05/2020,United States,2
1.25807E+018,05/06/2020,Mexico,2
1.2563E+018,05/01/2020,United States,2
1.25691E+018,05/03/2020,United States,0
1.25697E+018,05/03/2020,United States,2
1.25736E+018,05/04/2020,United States,2
1.25757E+018,05/05/2020,United States,0
1.25829E+018,05/07/2020,United States,0
1.25886E+018,05/08/2020,United States,0
1.25924E+018,05/09/2020,United States,2
1.25646E+018,05/02/2020,United States,2
1.25664E+018,05/02/2020,United Kingdom,2
1.25721E+018,05/04/2020,United Kingdom,2
1.25845E+018,05/07/2020,United Kingdom,0
1.25629E+018,05/01/2020,United States,2
1.25635E+018,05/01/2020,United States,2
1.25641E+018,05/02/2020,United States,2
